title,price,location_date,link
Laptop Lenovo ThinkPad t440s ssd,200,Zielonka - 07 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-t440s-ssd-CID99-ID168ZoW.html
Laptop Lenovo ThinkPad X230,205,"Wrocław, Psie Pole - 22 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-x230-CID99-ID16kz4q.html
Laptop lenovo ideapad komputer sprawny,209,"Warszawa, Mokotów - 04 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-komputer-sprawny-CID99-IDYda4e.html
"laptop chromebook Lenovo Yoga 11e, 12"" DOTYKOWY, Intel4x2,24GHz,bat 8h",209,"Kraków, Nowa Huta - 28 maja 2025",https://www.olx.pl/d/oferta/laptop-chromebook-lenovo-yoga-11e-12-dotykowy-intel4x2-24ghz-bat-8h-CID99-ID161sgK.html
Laptop Lenovo z50 i3-4030u 8GB 15.6,219,Trzebiatów - 04 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-z50-i3-4030u-8gb-15-6-CID99-ID166hrf.html
Laptop Lenovo V110-15ISK (80TL017NPB),220,"Gdańsk, Śródmieście - 03 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-v110-15isk-80tl017npb-CID99-ID165Rlh.html
Laptop Lenovo V110-15ISK (80TL017NPB),220,"Gdańsk, Śródmieście - 03 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-v110-15isk-80tl017npb-CID99-ID165Rlh.html
Laptop Lenovo X301 ThinkPad sprawny z zasilaczem,220,"Kraków, Dębniki - 25 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-x301-thinkpad-sprawny-z-zasilaczem-CID99-IDRE8rR.html
"Laptop Lenovo IdeaPad. 15,6. Stan bardzo dobry. Dysk 500GB. Windows",220,Chełmno - 20 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-15-6-stan-bardzo-dobry-dysk-500gb-windows-CID99-ID16jzzm.html
Super zadbany laptop i5 SSD 8gb ram do pracy,220,"Łódź, Polesie - 16 czerwca 2025",https://www.olx.pl/d/oferta/super-zadbany-laptop-i5-ssd-8gb-ram-do-pracy-CID99-ID16fBl7.html
"Lsptop Lenovo G500 Celeron 1,9 Ghz 4 Gb 250 GB",220,Legnica - 26 czerwca 2025,https://www.olx.pl/d/oferta/lsptop-lenovo-g500-celeron-1-9-ghz-4-gb-250-gb-CID99-ID16om0J.html
Laptop Lenovo T 530,220,"Warszawa, Wola - 30 maja 2025",https://www.olx.pl/d/oferta/laptop-lenovo-t-530-CID99-ID15wgen.html
Laptop Lenovo G510,220,"Warszawa, Bemowo - 02 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-g510-CID99-ID1658X1.html
